No,Name,Platform,Followers,Notes,Link
1,Keyla Azzahra,TikTok,72500,,https://www.tiktok.com/@keylazzahra
2,dian hazwani,TikTok,8689,,https://www.tiktok.com/@elaidene
3,petrovacatherina,TikTok,47200,,https://www.tiktok.com/@petrovacatherina
4,verensiaclara04,TikTok,235100,,https://www.tiktok.com/@verensiaclara04
5,adhista,TikTok,2707,,https://www.tiktok.com/@adhistawp
6,angell.cristine,TikTok,1376,,https://www.tiktok.com/@nvmngel
7,Zetta,TikTok,101100,,https://www.tiktok.com/@barbiearzetta
8,grace kaitlin,TikTok,792700,,https://www.tiktok.com/@saayycheese
9,Ejeraa,TikTok,106000,,https://www.tiktok.com/@pinquinnsmoll
10,hazera,TikTok,10100,,https://www.tiktok.com/@ffavocados
11,Thelcon Felicia,TikTok,178600,,https://www.tiktok.com/@ciaapayaaa
12,Rui,TikTok,7829,Producer,https://www.tiktok.com/@_ruityan
13,Gabriella Zauna,TikTok,111600,Producer,https://www.tiktok.com/@zaunainasauna
14,Betsa Sihombing,TikTok,31400,,https://www.tiktok.com/@betsaa.sihombing
15,Celyna Grace,TikTok,61200,,https://www.tiktok.com/@celynagrace
16,Chai,TikTok,53400,,https://www.tiktok.com/@chainialovera
17,Maysara,TikTok,2509,"orang luar tinggal di indo, followers kecil tapi engagement lumayan",https://www.tiktok.com/@may.sara.m
18,tir,TikTok,16200,,https://www.tiktok.com/@zonk___
19,Oza Raihan,TikTok,197700,,https://www.tiktok.com/@ozaraihann
20,rockstarcrash,TikTok,1682,,https://www.tiktok.com/@rockstarcrash
21,naishll,TikTok,4955,,https://www.tiktok.com/@naishll
22,Kaylen Thawdar,TikTok,25300,singaporean,https://www.tiktok.com/@kaylenthawdar
23,reinvidya,TikTok,5476,,https://www.tiktok.com/@reinvidya
24,katrina,TikTok,53000,manilla keknya,https://www.tiktok.com/@katrinalor
25,eraldvrnn,TikTok,28000,,https://www.tiktok.com/@eraldvrnn
26,Kristi Pasaribu,TikTok,24100,,https://www.tiktok.com/@kristipasaribu_
27,Rahmalia,TikTok,7056,,https://www.tiktok.com/@rrhmlliaa
28,Filda Azatil,TikTok,46100,,https://www.tiktok.com/@fildacil06
29,Xane,TikTok,3354,,https://www.tiktok.com/@xaneuc
30,Ranta,TikTok,121400,,https://www.tiktok.com/@rantaone?lang=en
31,prince_poetiray,TikTok,28300,,https://www.tiktok.com/@prince_poetiray?lang=en
32,ozi alfauz,TikTok,14600,,https://www.tiktok.com/@ozi.alfauz?lang=en
33,Raisya,TikTok,37100,,https://www.tiktok.com/@koecing.garonk
34,Angie Mayra,TikTok,71900,,https://www.tiktok.com/@mayradeva
35,Naura,TikTok,9253,,https://www.tiktok.com/@naumaritzaa
